숙박시설명,시설명(영문),주소,주소(영문),숙박위치(동서방향),숙박위치(남북방향),숙박업소 홈페이지 주소,숙박업소 근처 시티투어 버스 유무,숙박업소 등급,숙박업소 건물 수,숙박업소 객실 수,숙박업소 스탠딩 수,숙박업소 좌석 수,숙박업소 대표메뉴,숙박업소 특징,숙박업소 연중무휴 여부,숙박업소 오픈 시간,숙박업소 종료 시간,성수기시작일,성수기종료일,숙박시설의 휴무 이유,조식 유무,쿠폰 유무,쿠폰 할인율,쿠폰 시작 날짜,쿠폰 마감 날짜,쿠폰 참고사항,주민 사용가능한 쿠폰 유무,주차장 유무,주차장 요금 유무,주차장 세부사항,주차 자동차 합계,주차 버스 합계,숙박 주변 주차장 정보,장애인 시설 유무,산책 유무,신용카드 유무,팁 유무,핸드폰 충전 유무,짐 보관 이유,아동 보육 유무,반려동물 보호 유무,외국인 가이드 유무,근처 관광 정보,근처 쇼핑 정보,근처 외식 정보,근처 숙박 정보,근처 교통 정보
돋을볕 펜션,,전라남도 여수시 남면 장지해안길 25,"25, Jangjihaean-gil Nam-myeon, Yeosu-si, Jeollanam-do",,,,n,,1,5,0,0,,"돋을볕 펜션, 민박, 숙박, 금오도, 심장리, 장지",n,13:00,12:00,07월 20일,08월 20일,,n,n,,,,,,y,n,,10,4,,,n,y,y,y,n,n,n,n,y,y,n,y,n
금오도 별밤지기 펜션,,전라남도 여수시 남면 내외진안길 19,"19, Naeoejinan-gil Nam-myeon, Yeosu-si, Jeollanam-do",,,http://blog.naver.com/mhpink52,y,,2,5,0,0,,"금오도 별밤지기 펜션, 남면, 민박, 우학리",n,14:00,12:00,07월 20일,08월 20일,,n,n,,,,,,y,n,,10,1,,,n,n,y,y,n,n,n,y,y,y,n,y,n
식스티,,전라남도 여수시 시청동3길 30-2,"30-2, Sicheongdong 3-gil, Yeosu-si, Jeollanam-do",369481.7976,240024.7073,,n,,6,100,0,0,,"식스티모텔, 모텔, 여수모텔, 학동숙박",n,11:00,14:00,08월 01일,08월 31일,,n,n,,,,,,y,n,,15,10,,,n,y,n,y,n,n,y,n,y,y,y,y,n
하화도 꽃섬길 펜션,,전라남도 여수시 화정면 아랫꽃섬1길 6-1,"6-1, Araetkkotseom 1-gil Hwajeong-myeon, Yeosu-si, Jeollanam-do",365352.8764,221910.7069,http://blog.daum.net/eunsuk5892/1,n,,1,3,0,0,,"하화도, 하화도 펜션, 펜션, 민박,하화도 꽃섬, 꽃섬, 하화도 꽃섬길 펜션, 식당",n,15:00,10:00,07월 10일,08월 30일,,n,n,,,,,,y,n,,4,1,,,n,y,n,y,n,n,n,n,y,y,y,y,n
해밀턴모텔,,전라남도 여수시 삼산면 하늘담길 14-1,"14-1, Haneuldam-gil Samsan-myeon, Yeosu-si, Jeollanam-do",336467.8013,159262.674,,n,,1,20,0,0,,"거문도, 숙박, 해밀턴모텔",n,11:00,10:00,01월 01일,12월 31일,,n,n,,,,,,y,n,,5,1,,,n,y,y,y,n,n,n,n,y,y,y,y,n
시랜드모텔,,전라남도 여수시 삼산면 거문길 92,"92, Geomun-gil Samsan-myeon, Yeosu-si, Jeollanam-do",336436.404,159155.9802,,n,,1,15,0,0,,"거문도, 숙박, 시랜드모텔",n,11:00,12:00,07월 15일,08월 15일,,n,n,,,,,,y,n,,5,1,,,n,y,y,y,n,n,n,n,y,y,y,y,n
바다정원펜션,,전라남도 여수시 남면 금오로 166,"166, Geumo-ro Nam-myeon, Yeosu-si, Jeollanam-do",378814.879,213888.6968,blog.naver.com/swyang16343,y,,2,4,0,0,,"남면, 금오도, 숙박, 바다정원펜션",n,14:00,11:00,07월 20일,08월 20일,,n,n,,,,,,y,n,,7,1,,,n,n,y,y,n,n,n,y,y,y,y,y,n
동백여관,,전라남도 여수시 삼산면 거문길 26-8,"26-8, Geomun-gil Samsan-myeon, Yeosu-si, Jeollanam-do",336615.0062,158941.3806,,y,,1,8,0,0,,"거문도, 숙박, 동백여관",n,14:00,11:00,07월 15일,08월 15일,,n,n,,,,,,y,n,,5,1,,,n,y,y,y,n,n,n,n,y,y,y,y,n
하늬바람펜션,,전라남도 여수시 화정면 화백해안길 17,"17, Hwabaekhaean-gil Hwajeong-myeon, Yeosu-si, Jeollanam-do",366226.7376,224745.0817,,n,,1,4,0,0,,"백야도, 하늬바람펜션, 민박, 백야대교",n,14:00,11:00,07월 15일,08월 31일,,n,n,,,,,,y,n,,10,2,,,n,n,y,y,n,n,n,n,y,y,y,y,n
하화도 게스트하우스,,전라남도 여수시 화정면 아랫꽃섬1길 1,"1, Araetkkotseom 1-gil Hwajeong-myeon, Yeosu-si, Jeollanam-do",,,,n,,1,1,0,0,,"하화도 게스트하우스, 민박, 숙박",n,14:00,11:00,04월 01일,05월 31일,,n,n,,,,,,y,n,,3,1,,,n,n,y,y,n,n,n,n,y,y,n,n,n
하화도민박,,전라남도 여수시 화정면 아랫꽃섬1길 7,"7, Araetkkotseom 1-gil Hwajeong-myeon, Yeosu-si, Jeollanam-do",365347.9896,221913.7757,,n,,1,2,0,0,,"하화도, 하화도민박, 숙박, 꽃섬길",n,14:00,11:00,04월 01일,05월 31일,,n,n,,,,,,y,n,,2,1,,,n,n,y,y,n,n,n,n,y,y,n,n,n
꽃섬민박,,전라남도 여수시 화정면 아랫꽃섬1길 15,"15, Araetkkotseom 1-gil Hwajeong-myeon, Yeosu-si, Jeollanam-do",,,,n,,1,2,0,0,,"하화도, 꽃섬식당, 민박, 숙박",n,14:00,11:00,04월 01일,05월 31일,,n,n,,,,,,y,n,,5,1,,,n,y,y,y,n,n,n,n,y,y,n,n,n
해수펜션,,전라남도 여수시 남면 장지해안길 69,"69, Jangjihaean-gil Nam-myeon, Yeosu-si, Jeollanam-do",381113.7081,210399.5564,,y,,3,10,0,0,,"해수펜션, 민박, 숙박, 금오도, 심장리",n,11:00,10:00,07월 15일,08월 15일,,n,n,,,,,,y,n,,10,4,,,n,n,y,y,n,n,n,n,y,y,y,y,n
가보자모텔,,전라남도 여수시 봉산남8길 17-10,"17-10, Bongsannam 8-gil, Yeosu-si, Jeollanam-do",,,cafe.naver.com/alpsmotel,n,,1,27,0,0,,"알프스모텔, 숙박",n,14:00,12:00,07월 10일,08월 30일,,n,n,,,,,,y,n,,7,5,,,n,y,y,y,n,n,n,y,y,y,y,y,n
나비잠모텔,,전라남도 여수시 대교로 38,"38, Daegyo-ro, Yeosu-si, Jeollanam-do",,,www.nabizamzz.com,n,,1,17,0,0,,"나비잠 게스트하우스,숙박",n,15:00,11:00,07월 01일,08월 31일,,y,n,10%,2017-06-01,2018-05-31,소셜 및 이벤트 중복할인 불가,,y,n,,6,4,,,n,y,y,y,n,n,n,y,y,y,y,y,n
조아모텔,,전라남도 여수시 시청동2길 13,"13, Sicheongdong 2-gil, Yeosu-si, Jeollanam-do",369489.7948,240161.2103,,n,,1,29,0,0,,"조아모텔, 숙박, 도심",n,14:00,11:00,07월 10일,08월 30일,,n,n,,,,,,y,n,,14,1,,,n,y,y,y,n,n,n,n,y,y,y,y,n
거문도섬호텔,,전라남도 여수시 삼산면 거문도등대길 54,"54, Geomundodeungdae-gil Samsan-myeon, Yeosu-si, Jeollanam-do",,,www.geomundohotel.co.kr,n,,1,30,0,0,,"거문도,관광호텔,숙박,거문도섬호텔",n,13:00,11:00,07월 15일,08월 15일,,n,n,20%,2016-05-31,2017-05-31,,,y,n,,5,1,,,n,y,y,y,n,n,n,n,y,y,y,y,n
별장민박,,전라남도 여수시 돌산읍 향일암로 719,"719, Hyangiram-ro Dolsan-eup, Yeosu-si, Jeollanam-do",381125.6373,225110.9837,,n,,0,0,0,0,,"미래산장민박,별장민박",n,12:00,11:00,,,,n,n,,,,,,n,n,,10,0,,,n,n,y,y,n,n,n,n,y,y,y,y,y
