연번,연도,태양광발전소명,주소,용량(kw),양수인가일,발전원
1,2018,토토빌 태양광발전소,여수시 대통3길 12-1,15.12,2018-01-05,태양광
2,2018,용문 태양광발전소,여수시 화양면 옥적리 산292-4,496,2018-01-05,태양광
3,2018,한일파워봉두208  태양광발전소,여수시 소라면 봉두리 산 39,99,2018-04-06,태양광
4,2018,한일파워봉두209  태양광발전소,여수시 소라면 봉두리 산 39,99,2018-04-06,태양광
5,2018,대광레져1호 태양광발전소,"여수시 돌산읍 금봉리 산284-9, 산286-7",194,2018-05-08,태양광
6,2018,한일파워봉두211 태양광발전소,여수시 소라면 봉두리 산39,150,2018-05-08,태양광
7,2018,한일파워봉두205 태양광발전소,"여수시 소라면 봉두리 산39, 108, 47",200,2018-05-08,태양광
8,2018,연도1호 태양광발전소,여수시 남면 연도리 1327-3,99.84,2018-05-25,태양광
9,2018,복산2호 태양광발전소,"여수시 소라면 복산리 595-19, 595-20",99,2018-05-25,태양광
10,2018,정우 태양광발전소,"여수시 화양면 이목리 69-5, 69-6",99,2018-06-11,태양광
11,2018,다솜 태양광발전소,여수시 화양면 안포리 산31,200,2018-06-11,태양광
12,2018,토토빌 태양광발전소,여수시 대통3길 12-1,15.12,2018-07-13,태양광
13,2018,여수안포리 태양광발전소 1호,여수시 화양면 안포리 1486,99,2018-07-30,태양광
14,2018,정직 태양광발전소,여수시 남면 유송리 229-2,84.24,2018-10-17,태양광
15,2019,여희에너지 태양광발전소,여수시 율촌면 취적리 산172-3,97.92,2019-01-11,태양광
16,2019,선샤인에너지 태양광발전소,여수시 율촌면 취적리 산172-3,97.92,2019-01-11,태양광
17,2019,서촌행복발전소1호,여수시 화양면 서촌리 274-6,97.6,2019-01-21,태양광
18,2019,서촌행복발전소2호,여수시 화양면 서촌리 274-6,97.6,2019-01-21,태양광
19,2019,남부황칠태양광 제2발전소,"여수시 돌산읍 금성리 산50-2, 685-4, 685-5, 685-9",321.93,2019-01-28,태양광
20,2019,토토빌 태양광발전소,여수시 대통3길 12-1,15.12,2019-02-26,태양광
21,2019,화동 태양광발전소,여수시 화양면 화동리 491,97.28,2019-03-03,태양광
22,2019,대한이엔지(유) 태양광발전소,여수시 호명동 874-2,496.8,2019-04-08,태양광
23,2019,복산3호 태양광발전소,"여수시 소라면 복산리 595-14, 595-15, 595-25",99,2019-04-25,태양광
24,2019,미래에너지7호 태양광발전소,"여수시 화양면 옥적리 620-1, 산 290",99.28,2019-04-25,태양광
25,2019,강현 태양광발전소,"여수시 화양면 안포리 산40-5, 1734-4, 1736-1",99,2019-05-09,태양광
26,2019,블루 태양광발전소,여수시 화양면 안포리 산40-5,99,2019-05-09,태양광
27,2019,그린 태양광발전소,"여수시 화양면 안포리 산40-5, 1734-4, 1736-1",99,2019-05-09,태양광
28,2019,복산5호 태양광발전소,여수시 소라면 복산리 595-24,99,2019-05-10,태양광
29,2019,진달래 태양광발전소,여수시 화양면 안포리 1719-7,200,2019-07-05,태양광
30,2019,미래에너지5호,"여수시 화양면 옥적리 620-1, 621",99.6,2019-07-05,태양광
31,2019,미래에너지6호,"여수시 화양면 옥적리 620-1, 621",99.6,2019-07-05,태양광
32,2019,박*호 태양광발전소,여수시 화양면 화동리 494,199.06,2019-09-24,태양광
33,2019,박*실 태양광발전소,여수시 화양면 나진리 산291,245,2019-10-07,태양광
34,2019,여수봉두1호 태양광발전소,여수시 소라면 봉두리 42,99,2019-10-11,태양광
