연번,허가번호,상호(발전소명),종류,발전소 주소,설비용량(킬로와트),허가일,개시일,데이터기준일자
1,전남제3호,대한소수력발전㈜(보성 소수력발전소),소수력,보성군 득량면 송곡리 1097-6,1200,2002-07-02,2009-03-03,2025-06-23
2,전남제13호,솔라플러스(주),태양광,"함평군 손불면 산남리 89-8,9,산111-1",1500,2004-04-02,2008-04-11,2025-06-23
3,전남제15호,에스디엔 주식회사(에스디엔 순천 태양광발전소),태양광,순천시 별량면 학산리 127-48외 9필지,1650,2004-05-18,2005-12-26,2025-06-23
4,전남제16호,한국농어촌공사 담양지사(담양호 소수력발전소),소수력,담양군 금성면 대성리 산5-3 일원,1274,2004-06-18,2006-07-01,2025-06-23
5,전남제20호,㈜지엔씨에너지(순천생활폐기물매립장 매립가스발전소),바이오에너지,순천시 왕지동 483-3(생활폐기물매립장),1850,2005-02-11,2005-07-29,2025-06-23
6,전남제55호,에스디엔㈜(에스디엔 순천 태양광발전소),태양광,순천시 별량면 두고리 301-2,1000,2005-12-13,2007-01-15,2025-06-23
7,전남제61호,한국수력원자력㈜(영광 솔라파크),태양광,"영광군 홍농읍 성산리 743,계마리966",3000,2005-12-13,2007-05-23,2025-06-23
8,전남제70호,남해에너지개발㈜(남해태양광발전소),태양광,"강진군 신전면 용월리산255-15,26, 1",3000,2005-12-27,2007-11-13,2025-06-23
9,전남제71호,신안풍력발전㈜(신안 풍력발전소),풍력,신안군 비금면 구림리 산1-1,3000,2006-01-02,2008-12-28,2025-06-23
10,전남제85호,썬엔정에너지(주)(썬엔정에너지 태양광발전소),태양광,"영광군 법성면 용덕리 산23-1, 용성리 산116",1000,2006-04-26,2007-11-06,2025-06-23
11,전남제101호,㈜썬볼트전력황산태양광발전소,태양광,해남군 현산면 황산리 산56-2외5,1500,2006-08-08,2008-05-28,2025-06-23
12,전남제105호,우리블루태양광발전(유)(영암 태양광발전소),태양광,"영암군 시종면 신학리 1340, 1340-6",1000,2006-08-30,2008-02-20,2025-06-23
13,전남제107호,영동태양광발전소,태양광,강진군 마량면 영동리 1-4,1053,2006-08-30,2008-03-04,2025-06-23
14,전남제124호,㈜혜인(혜인 태양광발전소),태양광,"해남군 계곡면 여수리 산33,32/방춘리산54",1000,2006-12-22,2007-09-15,2025-06-23
15,전남제131호,주식회사 서울신문사(무안태양광발전소),태양광,무안군 현경면 오류리 236-1,1000,2007-01-04,2007-07-30,2025-06-23
16,전남제132호,대한미래쏠라㈜(대한미래쏠라태양광발전소),태양광,보성군 벌교읍 칠동리 산 55-6외 2,2000,2007-01-18,2008-06-11,2025-06-23
17,전남제152호,(주)미래에너지(미래에너지 벌교 태양광발전소),태양광,보성군 벌교읍 대포리 786-8외9필지,3000,2007-02-06,2014-03-18,2025-06-23
18,전남제167호,㈜함평쏠라(함평쏠라파크태양광발전소),태양광,함평군 나산면 구산리 161-1외15,1000,2007-02-16,2008-04-30,2025-06-23
19,전남제158호,(주)코너지(코너지 태양광발전소),태양광,해남군 해남읍 복평리 산157,1200,2007-02-16,2008-05-09,2025-06-23
20,전남제179호,우리블루태양광발전(유)(조광 태양광발전소),태양광,"고흥군 도덕면 오마리 339-1, 339-2, 339-3",1000,2007-04-06,2008-10-09,2025-06-23
21,전남제186호,㈜에이치에스솔라(에이치에스솔라태양광발전소),태양광,"화순군 북면 송단리 산207-1,산208,812-1,805,804",1000,2007-05-14,2008-05-06,2025-06-23
22,전남제189호,㈜장산태양광발전소(장산1 태양광발전소),태양광,"신안군 장산면 오음리 498-1,498-2",1500,2007-05-22,2008-05-06,2025-06-23
23,전남제190호,㈜장산태양광발전소(장산2 태양광발전소),태양광,신안군 장산면 오음리 150-2,1500,2007-05-22,2008-05-06,2025-06-23
24,전남제197호,동원산업㈜(솔라파크 태양광발전소),태양광,"강진군 도암면 석문리 산191-2,778-4,190",1000,2007-06-12,2007-10-18,2025-06-23
25,전남제202호,(주)동진쏠라에너지(황산 태양광발전소),태양광,해남군 황산면 원호리 산27외3,1000,2007-06-14,2008-03-17,2025-06-23
26,전남제204호,그린태양광발전(주)(진도 태양광발전소),태양광,진도군 고군면 오류리 326외3,3000,2007-06-14,2008-08-01,2025-06-23
27,전남제207호,(주)한국솔라파크(영암 태양광발전소),태양광,영암군 덕진면 장선리 산31외10,3000,2007-06-26,2008-05-27,2025-06-23
28,전남제215호,(주)씨케이솔라(화원 태양광발전소),태양광,해남군 화원면 장춘리 산55,1000,2007-07-09,2008-02-22,2025-06-23
29,전남제217호,㈜그린솔라(함평 대동 태양광발전소),태양광,함평군 대동면 상옥리 산26-1외 4,1000,2007-07-11,2008-05-08,2025-06-23
30,전남제218호,안산에너지개발㈜(도암 태양광발전소),태양광,"강진군 도암면 석문리 665-4,664,산120-5,11",1050,2007-07-11,2008-05-26,2025-06-23
31,전남제228호,파인태양광㈜(파인태양광 해남 태양광발전소),태양광,"해남군 황산면 외입리 7-8,산7-2",1000,2007-07-24,2009-08-27,2025-06-23
32,전남제237호,(주)에스피솔라(장성SP 태양광발전소),태양광,장성군 삼서면 대곡리 산129-1외42,1500,2007-08-10,2008-04-30,2025-06-23
33,전남제238호,대영산업(주)(대영일신 태양광발전소),태양광,해남군 황산면 일신리 산9-16외1,1000,2007-08-10,2008-09-30,2025-06-23
34,전남제247호,㈜수성이앤씨(티원 태양광발전소),태양광,신안군 지도읍 내양리 59-15 59-52,1000,2007-08-20,2009-08-12,2025-06-23
35,전남제250호,㈜금호태양광발전소(금호 태양광발전소),태양광,고흥군 도화면 구암리 산108-25,1000,2007-08-21,2010-07-12,2025-06-23
36,전남제262호,대호에너지(주)(대호에너지신안태양광발전소),태양광,신안군 팔금면 읍리 923-1외10,3000,2007-08-29,2008-09-30,2025-06-23
37,전남제272호,(주)덕암에너지(덕암에너지1태양광발전소),태양광,해남군 산이면 예정리 산94,1000,2007-08-31,2008-09-25,2025-06-23
38,전남제273호,㈜용방에너지(용방에너지 태양광발전소),태양광,해남군 산이면 예정리 512-2외3,1000,2007-08-31,2008-09-25,2025-06-23
39,전남제280호,(주)재희태양광(재희 태양광발전소),태양광,"영암군 시종면 봉소리 산 58, 58-4",1000,2007-09-11,2008-08-29,2025-06-23
40,전남제282호,(주)신안성환에너지(신안성환 태양광발전소),태양광,"신안군 지도읍 태천리 산444, 산445, 산464-2",1000,2007-09-11,2008-09-30,2025-06-23
41,전남제320호,(주)온누리(온누리 태양광발전소),태양광,나주시 공산면 남창리 산127-5외5,2000,2007-10-16,2009-06-09,2025-06-23
42,전남제332호,(주)진도성환에너지(진도성환 태양광발전소),태양광,진도군 군내면 분토리 1096-1외3,1000,2007-10-18,2008-09-25,2025-06-23
43,전남제333호,삼호테크(유)(목포 대양 LFG발전소),바이오에너지,목포시 대양동 694-1(생활환경관리사업소내),2118,2007-10-22,2007-09-08,2025-06-23
44,전남제351호,에이치앤엘쏠라㈜(에이치앤엘쏠라 태양광발전소),태양광,고흥군 도화면 가화리 896-1외1,1000,2007-10-29,2009-08-20,2025-06-23
45,전남제353호,(주)그린솔라(장평 태양광발전소),태양광,장흥군 장평면 선정리 산26외2,1000,2007-10-29,2008-09-25,2025-06-23
46,전남제369호,한국농촌공사 진도지사(진도 태양광발전소),태양광,진도군 지산면 소포리 1050외2,1000,2007-11-06,2008-09-25,2025-06-23
47,전남제377호,㈜한국태양광발전1호(한국태양광발전 보성2호),태양광,보성군 보성읍 옥암리 산 60,1000,2007-11-14,2010-07-30,2025-06-23
48,전남제378호,㈜한국태양광발전1호(한국태양광발전 보성1호),태양광,보성군 보성읍 옥암리 산 62외 4,1000,2007-11-15,2010-07-30,2025-06-23
49,전남제388호,㈜한국태양광발전연구소(한국태양광발전소2호),태양광,장흥군 안양면 운흥리 산 106,1000,2007-11-21,2009-11-06,2025-06-23
50,전남제389호,썬레이에너지(주)(썬레이에너지 태양광발전소),태양광,장흥군 관산읍 삼산리 산5-1,1500,2007-11-21,2008-04-04,2025-06-23
51,전남제425호,한국농촌공사 영암지사(한국농촌공사 영암 태양광발전소),태양광,영암군 삼호읍 산호리 1414외1),3000,2007-12-17,2009-05-29,2025-06-23
