대상연도,사업소명,성과지표명,단위,영향인자
2014,005,총에너지 사용량,TJ,"주배관 및 외기온도,공급량,냉/난방도일"
2014,005,설비용 에너지 사용량,TJ,"주배관온도,공급량"
2014,007,총에너지 사용량,TJ/년,"설비, 건물, 차량의 총에너지 사용량의 합"
2014,007,설비 에너지 사용량,TJ/년,"외기온도, 공급량, 주배관 온도"
2014,007,건물 에너지 사용량,TJ/년,"냉,난방도일, 외기온도"
2014,007,차량 에너지 사용량,TJ/년,외기온도
2014,006,총에너지 사용량,TJ,"외기온도, 공급량, 난방도일"
2014,006,설비용 에너지 사용량,TJ,"외기온도, 공급량"
2014,006,건물용 에너지 사용량,TJ,난방도일
2014,006,차량용 에너지 사용량,TJ,
2014,017,총에너지 사용량,TJ,"주배관 및 외기온도,공급량,냉/난방도일"
2014,017,설비용 에너지 사용량,TJ,"주배관온도,공급량"
2014,017,건물용 에너지 사용량,TJ,"난방도일,냉방도일"
2014,017,차량용 에너지 사용량,TJ,외기온도
2015,011,총 에너지사용량,TJ,공급량
2015,011,설비용 에너지사용량,TJ,공급량
2015,011,건물용 에너지사용량,TJ,
2015,011,차량용 에너지사용량,TJ,
2015,010,총 에너지 사용량,TJ,"외기온도, 공급량, 난방도일,냉방도일"
2015,017,총 에너지 사용량,TJ,"주배관 및 외기온도, 공급량, 냉/난방도일"
2015,017,설비용 에너지 사용량,TJ,"주배관온도, 공급량"
2015,017,건물용 에너지 사용량,TJ,"난방도일, 냉방도일"
2015,017,차량용 에너지 사용량,TJ,외기온도
2015,004,설비용 에너지 사용량,TJ,"생산량, ORV송출능력"
2015,004,건물용 에너지 사용량,TJ,난방도일
2015,004,차량용 에너지 사용량,TJ,
2019,007,총 에너지 사용량,TJ,"생산(판매)량, 외기온도, 난방도일, 냉방도일,난방도일, 주배관온도,외기온도"
2019,007,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도,외기온도"
2019,007,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2019,007,차량용 에너지 사용량,TJ,
2018,002,총에너지사용량,TJ,"생산량, ORV 송출능력,냉방도일,난방도일,해수온도"
2018,002,설비용 에너지사용량,TJ,"생산량, ORV 송출능력,해수온도,냉방도일,난방도일"
2018,002,건물용 에너지사용량,TJ,"냉방도일, 난방도일"
2018,002,차량용 에너지사용량,TJ,외기온도
2019,004,사업장 천제 EnPI,TJ/천톤,
2019,004,설비용 EnPI,TJ/천톤,"생산(판매)량, 외기온도"
2019,004,건물용 EnPI,TJ,"냉방도일, 난방도일"
2019,004,차량용 EnPI,TJ,평균사용량
2020,003,총 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV 송출능력, 냉방도일, 난방도일"
2020,003,설비용 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV 송출능력"
2020,003,건물용 에너지사용량,TJ,"냉방도일, 난방도일, 외기온도"
2020,003,차량용 에너지사용량,TJ,
2020,009,에너지원단위,TJ/천톤,"외기온도, 생산량(천연가스)"
2020,007,총 에너지 사용량,TJ,"판매량,외기온도,난방도일,냉방도일,주배관온도"
2020,007,설비용 에너지 사용량,TJ,"판매량,주배관온도,외기온도"
2020,007,건물용 에너지 사용량,TJ,"외기온도,난방도일,냉방도일"
2020,007,차량용 에너지 사용량,TJ,
2021,006,총 에너지 사용량,TJ,"주배관온도, 생산량, 냉방도일, 난방도일, 외기온도"
2021,006,설비용 에너지 사용량,TJ,"주배관온도, 생산량"
2021,006,건물용 에너지 사용량,TJ,"냉방도일, 난방도일"
2021,006,차량용 에너지 사용량,TJ,외기온도
2022,005,총 에너지사용량,TJ,"생산량, 외기온도, 주배관온도, 냉난방일수"
2022,005,설비용 에너지사용량,TJ,"생산량, 외기온도, 주배관온도"
2022,005,건물용 에너지사용량,TJ,"외기온도, 냉난방일수"
2022,005,차량용 에너지사용량,TJ,외기온도
2022,012,총 에너지 사용량,TJ,"생산(판매)량,외기온도,낭방도일,냉방도일,주배관온도,외기온도"
2022,012,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도, 외기온도"
2022,012,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2022,012,차량용 에너지 사용량,TJ,배관이설 등 건설현장 공사건수
2022,012,에너지 원단위,TJ/천톤,"생산(판매)량,난방도일,냉방도일,외기온도"
2014,004,총에너지 사용량,TJ,"생산량,해수온도,ORV송출능력 등"
2014,004,설비용 에너지사용량,TJ,"생산량,해수온도,ORV송출능력 "
2014,004,건물용 에너지사용량,TJ,"난방도일,냉방동일"
2014,004,차량용 에너지 사용량,TJ,
2015,010,설비용 에너지사용량,TJ,"외기온도, 공급량"
2015,010,건물용 에너지사용량,TJ,"난방도일, 냉방도일"
2015,010,차량용 에너지사용량,TJ,
2017,005,총에너지 사용량,TJ,"주배관 및 외기온도, 공급량, 냉/난방도일"
2017,005,설비용 에너지 사용량,TJ,"주배관온도, 공급량"
2017,005,건물용 에너지 사용량,TJ,"난방도일, 냉방도일"
2016,004,총에너지 사용량,TJ,"생산량, 냉방도일,난방도일"
2017,003,총 에너지사용량 및 원단위,"TJ, TJ/천톤","생산량, ORV송출능력, 냉방도일, 온도"
2017,003,설비용 에너지사용량 및 원단위,"TJ, TJ/천톤","생산량, ORV송출능력"
2017,003,건물용 에너지사용량,TJ,"냉방도일, 온도"
2017,003,차량용 에너지사용량,TJ,
2017,005,차량용 에너지 사용량,TJ,외기온도
2018,017,총 에너지 사용량,TJ,"생산(판매)량, 외기온도, 주배관 온도, 냉난방사용량"
2018,017,설비용 에너지 사용량,TJ,"생산(판매)량, 외기온도, 주배관 온도"
2018,017,건물용 에너지 사용량,TJ,냉난방사용량
2018,017,차량용 에너지 사용량,TJ,외기온도
2018,009,총 에너지사용량,TJ,"생산(판매)량, 외기온도, 난방도일, 냉방도일"
2018,009,설비용 에너지 사용량,TJ,"생산(판매)량, 외기온도, 주배관온도"
2018,009,건물용 에너지 사용량,TJ,"난방도일, 냉방도일"
2018,009,차량용 에너지 사용량,TJ,외기온도
2019,003,총 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV 송출능력, 냉방도일, 난방도일"
2019,003,설비용 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV 송출능력"
2019,003,건물용 에너지사용량,TJ,"냉방도일, 난방도일, 외기온도"
2019,002,설비용 EnPI,TJ,"생산량,외기온도,해수온도,ORV송출능력"
2019,002,건물용 EnPI,TJ,"냉방도일,난방도일,외기온도,근무인원"
2019,002,차량용 EnPI,TJ,3개년 평균 사용량
2019,018,총에너지사용량,TJ,"생산량, ORV 송출능력,냉방도일,난방도일,해수온도"
2019,018,설비용 에너지사용량,TJ,"생산량, ORV 송출능력,해수온도,냉방도일,난방도일"
2019,018,건물용 에너지사용량,TJ,"냉방도일, 난방도일"
2019,018,차량용 에너지사용량,TJ,외기온도
2019,011,총 에너지 사용량,TJ,"생산(판매)량, 외기온도, 난방도일, 냉방도일,난방도일, 주배관온도,외기온도"
2019,011,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도,외기온도"
2019,011,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2019,011,차량용 에너지 사용량,TJ,배관이설 등 건설현장 공사건수
2019,005,총 에너지 사용량,TJ,"생산(판매)량, 외기온도, 난방도일, 냉방도일,난방도일, 주배관온도,외기온도"
2019,005,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도,외기온도"
2019,005,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2019,005,차량용 에너지 사용량,TJ,
2020,008,총 에너지사용량,TJ,"생산량,외기온도,주배관온도,냉난방일수"
2020,008,설비용 에너지사용량,TJ,"생산량,외기온도,주배관온도"
2020,008,건물용 에너지사용량,TJ,냉난방일수
2020,008,차량용 에너지사용량,TJ,외기온도
2020,002,총 에너지사용량,TJ,"생산량, 해수온도, ORV 송출능력, 냉방도일, 난방도일, 외기온도"
2020,002,설비용 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV 송출능력"
2020,002,건물용 에너지사용량,TJ,"냉방도일, 난방도일, 외기온도"
2020,002,차량용 에너지사용량,TJ,3개년 평균사용량
2021,003,총 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV송출능력, 냉방도일, 난방도일"
2021,003,설비용 에너지사용량,TJ,"생산량, 외기온도, 해수온도, ORV송출능력"
2021,003,건물용 에너지사용량,TJ,"냉방도일, 난방도일"
2021,003,차량용 에너지사용량,TJ,외기온도
2021,002,총 에너지 사용량,TJ,"생산량, 외기온도, 해수온도, ORV송출능력"
2021,002,설비용 에너지 사용량,TJ,"생산량, 외기온도, 해수온도, ORV송출능력"
2021,002,건물용 에너지 사용량,TJ,"냉방도일, 난방도일"
2021,002,차량용 에너지 사용량,TJ,
2021,018,설비용 EnPI,TJ,"외기온도,해수온도"
2021,018,건물용 Enpi,TJ,"외기온도, 냉난방일수"
2021,018,차량용 Enpi,TJ,"현장점검 및 출동, 출장"
2021,019,설비용 EnPI,TJ,"외기온도, 생산량"
2021,019,건물용 EnPI,TJ,"외기온도, 냉난방일수"
2021,019,차량용 EnPI,TJ,"현장점검 및 출동, 출장"
2014,012,총에너지사용량,TJ/년,"설비, 건물, 차량의 총에너지 사용량의 합"
2014,012,건물에너지사용량,TJ/년,"냉방도일, 난방도일, 외기온도"
2014,012,설비에너지사용량,TJ/년,"외기온도, 공급량, 주배관 온도"
2014,008,총 에너지사용량,TJ,"추배관온도, 외기온도, 공급량, 냉/난방도일"
2014,008,설비용 에너지사용량,TJ,"주배관온도, 공급량"
2014,008,건물용 에너지사용량,TJ,"난방도일, 냉방도일"
2014,008,차량용 에너지사용량,TJ,외기온도
2015,007,총에너지 사용량,TJ/년,"설비, 건물, 차량의 총에너지 사용량의 합"
2015,007,설비 에너지 사용량,TJ/년,"외기온도, 공급량, 주배관 온도"
2015,007,건물 에너지 사용량,TJ/년,"냉,난방도일"
2015,007,차량 에너지 사용량,TJ/년,외기온도
2014,003,총 에너지 사용량,TJ,4개항목
2016,005,총 에너지사용량,TJ,"주배관 및 외기온도, 공급량, 냉난방도일"
2016,005,설비용 에너지사용량,TJ,"주배관온도, 공급량"
2016,005,건물용 에너지사용량,TJ,"난방도일, 냉방도일"
2016,005,차량용 에너지사용량,TJ,외기온도
2016,017,총 에너지 사용량,TJ,"주배관 및 외기온도, 공급량, 냉/난방도일"
2016,017,설비용 에너지 사용량,TJ,"주배관온도, 공급량"
2016,017,건물용 에너지 사용량,TJ,"난방도일, 냉방도일"
2016,017,차량용 에너지 사용량,TJ,외기온도
